회사이름,채용정보,채용조건,Job Sector
(주)케이티씨에스관심기업 등록케이티그룹대기업파견·도급·대행,[남대구점] kt플라자 채용공고스크랩,대구 남구신입 · 경력 · 계약직학력무관,정보통신
(주)그라운드컨트롤관심기업 등록,[플랫폼개발] 풀스택 / 백엔드 / 프론트엔드스크랩,대구전체 외3 ~ 8년 · 정규직학력무관,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA"
(주)티아젠정보관심기업 등록,[시스템-설치/운영] 서버구축/유지보수 기술영업 (신입/경력)스크랩,"대구 동구경력무관 · 정규직대학(2,3년)↑","IT컨설팅, ICT컨설팅, 네트워크, 정보통신, 클라우드"
소프트랩흄관심기업 등록,웹/모바일 프론트엔드 신입 개발자 구인(재택/원격가능)스크랩,대구 동구 외신입 · 정규직학력무관,"앱개발, 웹개발, 프론트엔드, 반응형웹, 모바일디자인"
(주)보토관심기업 등록,(주)보토 - 풀스택(Full Stack) 개발자 모집 공고스크랩,대구 동구신입 · 경력 · 정규직학력무관,"기술지원, 백엔드/서버개발, 웹개발, 유지보수, SI개발"
엠제이소프트관심기업 등록,SW 경력자 구함 / C# / android /JAVA 연봉4000~5000 / 대구스크랩,"대구 수성구경력 3년↑ · 계약직대학(2,3년)↑","Android, C#, Java, 솔루션, C++"
(주)엠제이소프트관심기업 등록,C#/안드로이드/JAVA  개발 경력자 채용 / 수성구(4000-5000)스크랩,"대구 수성구경력 3년↑ · 정규직대학(2,3년)↑","Android, C#, Java, 솔루션, C++"
(주)아이엠뱅크관심기업 등록DGB금융지주그룹대기업,iM뱅크(前대구은행) 하반기 전문직(경력직) 채용공고스크랩,대구전체 외경력 · 계약직학력무관,"백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔, 프론트엔드"
바인컴퍼니(주)관심기업 등록,스마트팩토리 우수공급기업 바인컴퍼니 개발자모집(경력)스크랩,"대구전체 외경력 3년↑ · 정규직대학(2,3년)↑","PM(프로젝트매니저), 개발PM, 솔루션, 개발관리자"
인성데이타(주)관심기업 등록바이크뱅크그룹,신입 정보보안 담당자 채용스크랩,대구 서구신입 · 정규직학력무관,"정보보안, 네트워크, 방화벽, ISMS"
(주)이수페타시스관심기업 등록이수그룹대기업,"(주)이수페타시스 경력직 채용 (IT/보안, 비서)스크랩",대구 달성군경력 2년↑ · 계약직대학교(4년)↑,"정보보안, 비서, 수행비서, 임원비서, 보안관제"
(주)오케이포스관심기업 등록NICE그룹,[NICE그룹/오케이포스] 솔루션 원격지원 담당(대구/야간근무)스크랩,대구 북구신입 · 경력 · 정규직고졸↑,"솔루션, 고객안내, H/W"
에이에프더블류(주)관심기업 등록코스닥,A.F.W(주) 전산팀 신입/경력 모집스크랩,"대구 달성군경력 1년↑ · 계약직대학(2,3년)↑","정보보안, 네트워크, 정보통신, H/W, S/W"
(주)이수시스템관심기업 등록이수그룹,이수시스템 24년 경력직 채용스크랩,대구전체 외경력 · 정규직대학교(4년)↑,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
(주)디스트릭트코리아관심기업 등록디스트릭트코리아그룹외국계,[디스트릭트-대구오피스] 사내 그룹웨어 닷넷 개발자스크랩,대구전체 외2 ~ 5년 · 정규직학력무관,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA"
바이오링크 주식회사관심기업 등록,"[바이오링크] 풀스택 개발자(신입, 경력 2년) 정규직 모집공고스크랩",대구 달서구신입 · 경력 · 정규직대학교(4년)↑,"백엔드/서버개발, AWS, Java, Javascript, MySQL"
바이오링크 주식회사관심기업 등록,[바이오링크] 풀스택 개발자(경력 5년 이상) 정규직 모집공고스크랩,대구 달서구5 ~ 12년 · 정규직대학교(4년)↑,"백엔드/서버개발, AWS, Java, Javascript, MySQL"
(주)코그관심기업 등록코그그룹,시네마틱(대구/서울)스크랩,대구 중구경력 3년↑ · 정규직학력무관,"게임개발, GM(게임운영), Unreal, 게임디자인, 그래픽디자인"
(주)우석이앤씨관심기업 등록,정보통신  사무 보조원 모집함.스크랩,대구 북구경력무관 · 정규직학력무관,"네트워크, 솔루션, 인프라, 클라우드, IIS"
