count,date,title,description,org_link,link
302,20240117,신입 자소서 쓰기 전 필수 체크! <b>채용 공고</b> 제대로 읽기,"그럼 <b>채용 공고</b>에서 어떤 내용을 보면 되는지 알아보자 <b>채용 공고</b>에서 살펴볼 것 - 회사 <b>채용 공고</b>에서 살펴볼 것 - 회사 가장 중요한 것은 이 회사가 어떤 회사인가 하는 것이다. <b>IT</b>, 금융, 콘텐츠, <b>개발</b> 등 아주... ",https://blog.naver.com/reco_list/223324257520,https://blog.naver.com/reco_list/223324257520
303,20240716,그대로 보기 | 일자리 | 알바 | <b>채용공고</b> 안내 - 진바름뉴스,"알바 | <b>채용공고</b> 안내 진해구 중앙동 교차로에서 일자리를 찾고 계신가요? 알바나 취업 정보를 얻기... 등 - <b>IT</b>/<b>개발</b>: 웹 <b>개발</b>, 앱 <b>개발</b>, <b>데이터</b>베이스, 시스템 관리 등 - 기술직: 건설, 설비, 기계, 전기, 통신 등... ",https://lth199305.tistory.com/6703,https://lth199305.tistory.com/6703
304,20240606,[<b>채용공고</b>] <b>IT</b>프로젝트매니저,5년이상의<b>IT개발</b>팀/기획팀리더경력자 - 영어로의사소통가능자 - 프로젝트관리툴사용경력자... 보안관련업무경험또는자격증소유자 ▪ <b>채용</b>형태 : 정규직 ▪ 급여 및 복지 : 회사내규에 따름... ,https://blog.naver.com/besthrsolution/223470952730,https://blog.naver.com/besthrsolution/223470952730
305,20240801,"8월 신입/인턴 <b>채용 공고</b>, 지금 바로 지원하세요",전략 <b>개발</b> &amp; 실행 [지원자격] 컨텐츠 기획력 &amp; 글쓰기 능력 보유자 모바일 프로덕트 &amp; <b>IT</b> 스타트업에... 홈페이지 <b>채용공고</b> 상세 | 입사지원 | 롯데그룹<b>채용</b> (lotte.co.kr) 4️⃣[크림] Biz Dev 체험형 인턴 모집... ,https://blog.naver.com/uni_x_star/223532333961,https://blog.naver.com/uni_x_star/223532333961
306,20240728,사천시 서포면 고용센터 일자리 | 워크넷 | <b>채용공고</b> | 구인구직... ,"사천시 서포면 고용센터 일자리 워크넷 <b>채용공고</b> 구 사천시 서포면 고용센터 일자리 | 워크넷... 등 <b>IT</b>/통신 웹 <b>개발</b> 프리랜서 재택근무 가능 웹 사이트 <b>개발</b>, 웹 디자인 등 교육/강좌 학원 강사 파트타임 사천시... ",https://geniushades.tistory.com/1406,https://geniushades.tistory.com/1406
307,20240728,구인구직 | <b>채용공고</b> | 관공서 대학생 알바 | 벼룩시장 총정리... ,"구인구직 | <b>채용공고</b> | 관공서 대학생 알바 | 벼룩시장 총정리 부산 수영구 남천동에서 알바를 찾고... 조사, <b>데이터</b> 입력, 배달, 행사 도우미 짧은 기간 근무, 급여 빠른 지급, 다양한 분야 경험 가능 알바천국... ",https://waeiaaw.tistory.com/1310,https://waeiaaw.tistory.com/1310
308,20171220,[<b>채용공고</b>] 태양광 사업실 발전사업 오퍼레이션 및 <b>IT</b> 사업실... ,"해줌은 국내 최초, 유일의 <b>IT</b> <b>데이터</b> 기반 태양광 업체로 한국에너지공단 3년 연속 선정 태양광... :) 감사합니다! 해줌 태양광발전사업 오퍼레이션 <b>채용 공고</b> 해줌 백엔드 프로그래머 <b>채용 공고</b>",https://blog.naver.com/haezoom/221166489111,https://blog.naver.com/haezoom/221166489111
309,20230831,지금 핫한 해외 <b>채용공고</b>  8월의 인기 <b>채용공고</b> TOP3는?,"지금 HOT한 해외 <b>채용공고</b>  8월 한 달, 가장 많은 지원자 수를 기록한 해외 <b>채용 공고</b>는... 및 <b>데이터</b> 관리 ✔ 신규제도 정립 및 제도 개선 이 <b>공고</b>를 놓치지 않으려면? 1위  프로젝트성 화물 운송 전문... ",https://blog.naver.com/hrdkorea2020/223198380378,https://blog.naver.com/hrdkorea2020/223198380378
310,20240710,"2024 한전KPS 신입 <b>채용공고</b>, 자소서, 연봉 정보","성능<b>개발</b>사업 위와 같은 비전과 핵심가치를 가지고 전력의 안정적인 공급과 전력설비의 유지 및... 이어서, 한전KPS <b>채용공고</b>에 대한 자세한 내용들을 살펴보도록 할게요. 한전KSP <b>채용공고</b> 한전KSP <b>채용</b>... ",https://blog.naver.com/hackers_lawschool/223506861989,https://blog.naver.com/hackers_lawschool/223506861989
311,20240726,"현대홈쇼핑 <b>채용</b> 정보 완벽 가이드 | <b>채용 공고</b>, 지원 방법... ","현대홈쇼핑 <b>채용</b> 정보 완벽 가이드 | <b>채용 공고</b>, 지원 방법, 면접 준비, 연봉 현대홈쇼핑 <b>채용</b> 정보 완벽... 2️⃣<b>IT</b>/디지털 분야 * 웹/모바일 서비스 <b>개발</b>, <b>데이터</b> 분석, <b>IT</b> 인프라 관리 등 최첨단 기술을 활용하여... ",https://blog.naver.com/use6812/223526763778,https://blog.naver.com/use6812/223526763778
